query,subject,identity,alignment length,mismatches,gap opens,q start,q end,s start,s end,evalue,bit score
chr22:22437645-23366982,IGLV9-49*01,100.000,317,0,0,319490,319806,1,317,5.10e-142,504
chr22:22437645-23366982,IGLV9-49*01,71.326,279,77,1,7082,7357,1,279,1.94e-39,163
chr22:22437645-23366982,IGLV9-49*01,70.251,279,80,1,856954,857229,3,281,1.42e-36,153
chr22:22437645-23366982,IGLV9-49*01,67.870,277,86,1,820085,820358,5,281,6.77e-30,131
chr22:22437645-23366982,IGLV9-49*01,68.929,280,83,2,138274,138549,1,280,6.09e-29,128
chr22:22437645-23366982,IGLV9-49*01,73.077,156,42,0,73820,73975,5,160,4.00e-25,115
chr22:22437645-23366982,IGLV9-49*01,74.233,163,40,1,158471,158633,1,161,2.92e-22,106
chr22:22437645-23366982,IGLV9-49*01,79.310,87,18,0,295004,295090,1,87,4.18e-15,82.4
chr22:22437645-23366982,IGLV9-49*01,80.247,81,16,0,329190,329270,1,81,3.76e-14,79.2
chr22:22437645-23366982,IGLV9-49*01,77.778,81,18,0,378837,378917,1,81,3.05e-12,72.9
chr22:22437645-23366982,IGLV9-49*01,79.221,77,16,0,412915,412991,1,77,3.05e-12,72.9
chr22:22437645-23366982,IGLV9-49*01,76.471,85,20,0,177744,177828,3,87,3.05e-12,72.9
chr22:22437645-23366982,IGLV9-49*01,75.581,86,21,0,46309,46394,1,86,9.15e-12,71.3
chr22:22437645-23366982,IGLV9-49*01,75.309,81,20,0,352262,352342,1,81,2.47e-10,66.6
chr22:22437645-23366982,IGLV9-49*01,68.276,145,44,1,37168,37310,1,145,7.41e-10,65.0
chr22:22437645-23366982,IGLV9-49*01,84.314,51,8,0,155088,155138,37,87,1.80e-07,57.1
chr22:22437645-23366982,IGLV9-49*01,69.620,79,24,0,220851,220929,1,79,1.46e-05,50.7
chr22:22437645-23366982,IGLV9-49*01,84.091,44,7,0,174948,174991,34,77,4.38e-05,49.1
chr22:22437645-23366982,IGLV9-49*01,67.059,85,28,0,389590,389674,1,85,1.31e-04,47.5
chr22:22437645-23366982,IGLV9-49*01,65.934,91,31,0,778118,778208,188,278,1.31e-04,47.5
chr22:22437645-23366982,IGLV9-49*01,66.667,135,42,1,334039,334173,1,132,3.94e-04,46.0
chr22:22437645-23366982,IGLV9-49*01,66.667,135,42,1,357121,357255,1,132,3.94e-04,46.0
chr22:22437645-23366982,IGLV9-49*01,67.073,82,27,0,74818,74899,1,82,3.94e-04,46.0
chr22:22437645-23366982,IGLV9-49*01,67.949,78,25,0,190864,190941,1,78,3.94e-04,46.0
chr22:22437645-23366982,IGLV9-49*01,70.588,68,20,0,808226,808293,1,68,3.94e-04,46.0
chr22:22437645-23366982,IGLV9-49*01,68.919,74,23,0,171879,171952,8,81,3.94e-04,46.0
chr22:22437645-23366982,IGLV9-49*01,65.882,85,29,0,298764,298848,1,85,0.001,44.4
chr22:22437645-23366982,IGLV9-49*01,84.615,39,6,0,51312,51350,49,87,0.001,44.4
chr22:22437645-23366982,IGLV9-49*01,63.918,97,35,0,804865,804961,183,279,0.001,44.4
chr22:22437645-23366982,IGLV9-49*01,64.835,91,32,0,808404,808494,188,278,0.001,44.4
chr22:22437645-23366982,IGLV9-49*01,65.926,135,43,1,417362,417496,1,132,0.004,42.8
chr22:22437645-23366982,IGLV9-49*01,69.118,68,21,0,650019,650086,1,68,0.004,42.8
chr22:22437645-23366982,IGLV9-49*01,69.118,68,21,0,720119,720186,1,68,0.004,42.8
chr22:22437645-23366982,IGLV9-49*01,70.313,64,19,0,573483,573546,5,68,0.004,42.8
chr22:22437645-23366982,IGLV9-49*01,79.545,44,9,0,689957,690000,100,143,0.004,42.8
chr22:22437645-23366982,IGLV9-49*01,63.265,98,36,0,74991,75088,183,280,0.004,42.8
chr22:22437645-23366982,IGLV9-49*01,65.432,81,28,0,8821,8901,1,81,0.011,41.2
chr22:22437645-23366982,IGLV9-49*01,79.070,43,9,0,87490,87532,3,45,0.011,41.2
chr22:22437645-23366982,IGLV9-49*01,62.887,97,36,0,690025,690121,183,279,0.011,41.2
chr22:22437645-23366982,IGLV9-49*01,63.736,91,33,0,580020,580110,187,277,0.011,41.2
chr22:22437645-23366982,IGLV9-49*01,63.736,91,33,0,720297,720387,188,278,0.011,41.2
chr22:22437645-23366982,IGLV9-49*01,66.234,77,26,0,800114,800190,231,307,0.011,41.2
chr22:22437645-23366982,IGLV9-49*01,67.647,68,22,0,683450,683517,1,68,0.032,39.6
chr22:22437645-23366982,IGLV9-49*01,67.647,68,22,0,744243,744310,1,68,0.032,39.6
chr22:22437645-23366982,IGLV9-49*01,67.647,68,22,0,777940,778007,1,68,0.032,39.6
chr22:22437645-23366982,IGLV9-49*01,70.000,60,18,0,698241,698300,6,65,0.032,39.6
chr22:22437645-23366982,IGLV9-49*01,70.000,60,18,0,804706,804765,6,65,0.032,39.6
chr22:22437645-23366982,IGLV9-49*01,81.579,38,7,0,804791,804828,94,131,0.032,39.6
chr22:22437645-23366982,IGLV9-49*01,62.500,96,36,0,698401,698496,184,279,0.032,39.6
chr22:22437645-23366982,IGLV9-49*01,63.529,85,31,0,62628,62712,1,85,0.096,38.0
chr22:22437645-23366982,IGLV9-49*01,67.164,67,22,0,14718,14784,2,68,0.096,38.0
chr22:22437645-23366982,IGLV9-49*01,68.852,61,19,0,866378,866438,6,66,0.096,38.0
chr22:22437645-23366982,IGLV9-49*01,82.857,35,6,0,698329,698363,97,131,0.096,38.0
chr22:22437645-23366982,IGLV9-49*01,76.744,43,10,0,579949,579991,101,143,0.096,38.0
chr22:22437645-23366982,IGLV9-49*01,65.333,75,26,0,675265,675339,233,307,0.096,38.0
chr22:22437645-23366982,IGLV9-49*01,66.176,68,23,0,19526,19593,1,68,0.29,36.5
chr22:22437645-23366982,IGLV9-49*01,92.308,26,2,0,51268,51293,1,26,0.29,36.5
chr22:22437645-23366982,IGLV9-49*01,80.556,36,7,0,378943,378978,101,136,0.29,36.5
chr22:22437645-23366982,IGLV9-49*01,62.353,85,32,0,565210,565294,1,85,0.86,34.9
chr22:22437645-23366982,IGLV9-49*01,76.923,39,9,0,413006,413044,86,124,0.86,34.9
chr22:22437645-23366982,IGLV9-49*01,74.419,43,11,0,395244,395286,90,132,0.86,34.9
chr22:22437645-23366982,IGLV9-49*01,80.000,35,7,0,757622,757656,97,131,0.86,34.9
chr22:22437645-23366982,IGLV9-49*01,72.340,47,13,0,220957,221003,101,147,0.86,34.9
chr22:22437645-23366982,IGLV9-49*01,75.610,41,10,0,672456,672496,103,143,0.86,34.9
chr22:22437645-23366982,IGLV9-49*01,72.727,44,12,0,518142,518185,23,66,2.6,33.3
chr22:22437645-23366982,IGLV9-49*01,91.667,24,2,0,51370,51393,101,124,2.6,33.3
chr22:22437645-23366982,IGLV9-49*01,91.667,24,2,0,352368,352391,101,124,2.6,33.3
chr22:22437645-23366982,IGLV9-49*01,83.333,30,5,0,706290,706319,102,131,2.6,33.3
chr22:22437645-23366982,IGLV9-49*01,85.714,28,4,0,646773,646800,103,130,2.6,33.3
chr22:22437645-23366982,IGLV9-49*01,60.417,96,38,0,590145,590240,184,279,2.6,33.3
chr22:22437645-23366982,IGLV9-49*01,73.171,41,11,0,142480,142520,5,45,7.8,31.7
chr22:22437645-23366982,IGLV9-49*01,69.388,49,15,0,171969,172017,95,143,7.8,31.7
chr22:22437645-23366982,IGLV9-49*01,80.645,31,6,0,858537,858567,101,131,7.8,31.7
chr22:22437645-23366982,IGLV9-49*01,77.143,35,8,0,329297,329331,102,136,7.8,31.7
chr22:22437645-23366982,IGLV9-49*01,78.788,33,7,0,74925,74957,102,134,7.8,31.7
chr22:22437645-23366982,IGLV9-49*01,73.171,41,11,0,733048,733088,103,143,7.8,31.7
chr22:22437645-23366982,IGLV9-49*01,82.759,29,5,0,680211,680239,103,131,7.8,31.7
chr22:22437645-23366982,IGLV9-49*01,69.388,49,15,0,835808,835856,231,279,7.8,31.7
chr22:22437645-23366982,IGLV9-49*01,73.171,41,11,0,735952,735992,267,307,7.8,31.7
chr22:22437645-23366982,IGLV5-52*01,100.000,317,0,0,295004,295320,1,317,5.10e-142,504
chr22:22437645-23366982,IGLV5-52*01,82.848,309,53,0,352262,352570,1,309,1.26e-87,323
chr22:22437645-23366982,IGLV5-52*01,83.224,304,51,0,329190,329493,1,304,3.77e-87,321
chr22:22437645-23366982,IGLV5-52*01,82.951,305,52,0,412915,413219,1,305,1.13e-86,320
chr22:22437645-23366982,IGLV5-52*01,81.553,309,57,0,378837,379145,1,309,8.24e-84,310
chr22:22437645-23366982,IGLV5-52*01,77.536,276,60,1,46309,46582,1,276,4.31e-57,221
chr22:22437645-23366982,IGLV5-52*01,74.035,285,74,0,177744,178028,3,287,3.88e-56,218
chr22:22437645-23366982,IGLV5-52*01,72.619,252,69,0,155083,155334,32,283,3.65e-45,182
chr22:22437645-23366982,IGLV5-52*01,73.355,304,76,2,51268,51566,1,304,3.29e-44,179
chr22:22437645-23366982,IGLV5-52*01,70.130,308,87,2,34401,34705,1,306,1.27e-35,150
chr22:22437645-23366982,IGLV5-52*01,63.898,313,113,0,220851,221163,1,313,2.79e-32,139
chr22:22437645-23366982,IGLV5-52*01,71.512,172,49,0,63825,63996,109,280,4.44e-26,118
chr22:22437645-23366982,IGLV5-52*01,77.419,124,28,0,87923,88046,153,276,3.24e-23,109
chr22:22437645-23366982,IGLV5-52*01,79.310,87,18,0,319490,319576,1,87,4.18e-15,82.4
chr22:22437645-23366982,IGLV5-52*01,68.145,248,73,3,174947,175192,33,276,4.18e-15,82.4
chr22:22437645-23366982,IGLV5-52*01,74.713,87,22,0,138274,138360,1,87,2.74e-11,69.7
chr22:22437645-23366982,IGLV5-52*01,68.919,148,44,1,87490,87635,3,150,2.74e-11,69.7
chr22:22437645-23366982,IGLV5-52*01,68.868,106,33,0,172039,172144,183,288,7.41e-10,65.0
chr22:22437645-23366982,IGLV5-52*01,79.412,68,14,0,138507,138574,247,314,7.41e-10,65.0
chr22:22437645-23366982,IGLV5-52*01,73.750,80,21,0,7082,7161,1,80,6.67e-09,61.8
chr22:22437645-23366982,IGLV5-52*01,85.185,54,8,0,191093,191146,251,304,6.67e-09,61.8
